,MSE,MAE,R2,RMSE,feature_engineering_applied,lagged,scaled,normalized,simple_short_lag,simple_medium_lag,simple_seasonal_lag,rolling_short,rolling_medium,feature_engineering,scaler,normalizer,model,model_family
835,2.135427543005047,1.100832811364037,0.7433207155103015,1.4613102145010304,0,1,0,1,1,1,1,1,1,None,None,Normalizer,DecisionTreeRegressor,Single Tree
836,2.955569370460538,1.3121896651088578,0.6450414949669263,1.7191769456517667,0,1,0,1,0,0,0,1,0,None,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
837,2.565540233189628,1.2127246865552843,0.6918832848665994,1.6017303871718322,0,1,0,1,0,0,0,1,0,None,None,Normalizer,DecisionTreeRegressor,Single Tree
838,3.1927241984057018,1.3699169367943282,0.6162716938190014,1.786819576343874,0,1,0,1,1,1,0,1,1,None,None,Normalizer,KNeighborsRegressor,Nearest Neighbors
839,2.1662202892439133,1.109245257541689,0.7396455218958273,1.4718085097063114,0,1,0,1,1,1,0,1,1,None,None,Normalizer,DecisionTreeRegressor,Single Tree
840,7.102437575916135,2.0253988498634024,0.1468368757290183,2.6650398826126667,1,0,0,0,0,0,0,0,0,KBinsDiscretizer,None,None,KNeighborsRegressor,Nearest Neighbors
841,6.462913574311571,1.9597168821212807,0.2236581486262816,2.542226106055787,1,0,0,0,0,0,0,0,0,KBinsDiscretizer,None,None,DecisionTreeRegressor,Single Tree
842,2.985648258931037,1.3371990122114683,0.6414233716889653,1.7279028499690128,1,1,0,0,1,0,0,0,0,KBinsDiscretizer,None,None,KNeighborsRegressor,Nearest Neighbors
843,2.219561847785598,1.1352520374497217,0.7334304195659931,1.4898194010636316,1,1,0,0,1,0,0,0,0,KBinsDiscretizer,None,None,DecisionTreeRegressor,Single Tree
844,3.4830617278667595,1.444925706033105,0.5813345224141002,1.8662962594043744,1,1,0,0,1,1,1,0,0,KBinsDiscretizer,None,None,KNeighborsRegressor,Nearest Neighbors
845,2.25292885170654,1.1458685597205782,0.7291970090221573,1.5009759663987092,1,1,0,0,1,1,1,0,0,KBinsDiscretizer,None,None,DecisionTreeRegressor,Single Tree
846,3.303631016200168,1.400635720829474,0.6029021690602825,1.8175893420132525,1,1,0,0,1,1,1,1,1,KBinsDiscretizer,None,None,KNeighborsRegressor,Nearest Neighbors
